name,stock_count,description,price,category,photo_url
Frog,4,Your favorite cuddley non-posionous amphibian,2000,amphibians,https://i.imgur.com/JvI9dY9.jpg
Puppy,12,A baby dalmatian!,1500,mammals,https://i.imgur.com/gdxm25d.jpg
Hippo,5,Cute and dangerous!,100000,mammals,https://i.imgur.com/YDCtFMB.jpg
Sloth,4,Adorable!,20000,mammals,https://i.imgur.com/Ht1hezp.jpg
Pomeranian,24,Fluffy like a huge cloud!,2000,mammals,https://i.imgur.com/Om3wQCW.jpg
Python,8,Baby ball python with pretty reticulated pattern,200,reptiles,https://i.imgur.com/IbbN3gc.jpg
Elephant,3,Cute and friendly baby elephant,3000,mammals,https://i.imgur.com/DZ2o9Um.jpg
Labrador,12,Playful and adorable - your new best friend,200,mammals,https://i.imgur.com/YXg8LXR.jpg
Piglet,10,Lovely pink and friendly,100,mammals,https://i.imgur.com/MpKih6T.jpg
Parrot,9,Gorgeous colors - talk like human beings,4000,birds,https://i.imgur.com/YDknvAm.jpg
Meerkat,12,Fun to watch and lively - shrewd little animals,3000,mammals,https://i.imgur.com/Kc3P7k3.jpg
Lamb,14,Soft and gentle,200,mammals,https://i.imgur.com/gA9xPLp.jpg
Leopard,4,15 day old leopard cubs,5000,mammals,https://i.imgur.com/9POrqMS.jpg
Gibbon,8,Smart as a whistle,2000,mammals,https://i.imgur.com/0tVvi5N.jpg
Fox,12,Cubs-playful and fun to watch,2500,mammals,https://i.imgur.com/QBF7Gm4.jpg
Giraffe,4,New born baby giraffe,4000,mammals,https://i.imgur.com/4WkiWsX.jpg
Fawn,9,Timid little baby fawn,1000,mammals,https://i.imgur.com/5NVi4vr.jpg
Turtle,40,Tine little freshwater turtle,500,reptiles,https://i.imgur.com/I2ICTfg.jpg
Red-panda,8,Beautiful red fur and bushy tail,3000,mammalss,https://i.imgur.com/abDkafw.jpg
Owl,11,Clever little baby owl,2000,birds,https://i.imgur.com/v1oRd62.jpg
Orangutan,6,Fun to watch antics - very sociable,4000,mammals,https://i.imgur.com/d66wSjt.jpg
Squirrel,18,Baby squirrel will eat nuts out of your hand,400,mammals,https://i.imgur.com/La3e2BD.jpg
Duckling,9,Lovely bright sunshine yellow,100,birds,https://i.imgur.com/fyZBhtU.jpg
Dormouse,24,Inquisitive baby dormouse,200,mammals,https://i.imgur.com/NyKcY9y.jpg
Hedgehog,30,Cute little baby hedgehog,300,mammals,https://i.imgur.com/MNSTA7a.jpg
Unicorn,1,Ultra-rare!!!!,8000,mystical,https://i.imgur.com/eI9VU0v.jpg
